"","rep","phi","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C"
"1",1,0,0.504859823286109,0.247033960685986,0.375946891986048,0.556026129935366,0.263703502452506,0.409864816193936,0.462316782601269,0.232346589662591,0.34733168613193,0.11575267410993,0.0489856417840201,0.0823691579469748,0.131051256015709,0.098485209451344,0.114768232733526,-0.00147231643789847,-0.00511947896651345,-0.00329589770220596
"2",2,0,0.505138879822058,0.246377118946503,0.375757999384281,0.556055540900813,0.264355536936182,0.410205538918497,0.462764640840901,0.230688354806617,0.346726497823759,0.116113903175819,0.0487709824053232,0.082442442790571,0.131022184469262,0.0977389956730377,0.11438059007115,-0.00129562274834142,-0.00512716821749999,-0.00321139548292071
"3",3,0,0.529675459322983,0.246651997472612,0.388163728397798,0.591907659331564,0.263065382160793,0.427486520746179,0.479284295027514,0.232166481580759,0.355725388304136,0.115053187792655,0.0485854228617822,0.0818193053272184,0.135780023535007,0.0982937404369975,0.117036881986002,-0.00358679062394574,-0.00505595517472598,-0.00432137289933586
"4",4,0,0.53124994613581,0.245454817547749,0.38835238184178,0.593721994163137,0.262198780943578,0.427960387553357,0.480673028310217,0.230721018000167,0.355697023155192,0.11634609659237,0.0485666477833529,0.0824563721878615,0.13693489676524,0.097815101199228,0.117374998982234,-0.00346128473318373,-0.00502698528845643,-0.00424413501082008
"5",5,0,0.499343118334306,0.245892055884341,0.372617587109323,0.551810830745873,0.26175730269399,0.406784066719932,0.455986637413166,0.231840105990098,0.343913371701632,0.121753558453598,0.0486657654881487,0.0852096619708735,0.136003250125927,0.0981117134060949,0.117057481766011,-0.00114120292190835,-0.00515436095404495,-0.00314778193797665
"6",1,250,0.522212407208188,0.250885876927074,0.386549142067631,0.584201852324691,0.269931713807814,0.427066783066252,0.47211631726706,0.23435057348828,0.35323344537767,0.113747183194997,0.0482425051520043,0.0809948441735004,0.134258212970885,0.0957332995648239,0.114995756267854,-0.00379878650305664,-0.00515187712326047,-0.00447533181315856
"7",2,250,0.523238177762964,0.249180897601408,0.386209537682186,0.585245059158004,0.268009837395679,0.426627448276842,0.473111842719174,0.232823931626364,0.352967887172769,0.113757179979899,0.0460450305576515,0.079901105268775,0.134042997249273,0.0897951901449329,0.111919093697103,-0.00369555227225932,-0.00471457593017213,-0.00420506410121572
"8",3,250,0.523516886226703,0.25062548427775,0.387071185252226,0.585391714761494,0.268560219967644,0.426975967364569,0.473471788259206,0.234936196459901,0.354203992359554,0.114683187728075,0.0487804857425721,0.0817318367353236,0.134555231677662,0.0967997556531542,0.115677493665408,-0.00371733213924408,-0.00529498177402327,-0.00450615695663367
"9",4,250,0.522293416286299,0.249624420225153,0.385958918255726,0.583491996333122,0.269411313691664,0.426451655012393,0.472713638613719,0.23254515871046,0.352629398662089,0.113762468809674,0.0487951317624643,0.081278800286069,0.13392647291054,0.0968263036288744,0.115376388269707,-0.00382159880070011,-0.005273035069634,-0.00454731693516706
"10",5,250,0.532415957078361,0.249069032216763,0.390742494647562,0.610659628185717,0.267465046296687,0.439062337241202,0.471945671799287,0.23304069517255,0.352493183485919,0.111887923141007,0.04753236112592,0.0797101421334634,0.136060067957221,0.0970976621101558,0.116578865033688,-0.00524027411484487,-0.00519334001255716,-0.00521680706370102
"11",1,500,0.519478411290592,0.252762850484022,0.386120630887307,0.580794902153301,0.272345453654612,0.426570177903957,0.469872387155649,0.235807458627804,0.352839922891726,0.112955845375841,0.0477756676517221,0.0803657565137817,0.132590735893043,0.0957301174771864,0.114160426685115,-0.00354550246106366,-0.00510255255650599,-0.00432402750878483
"12",2,500,0.524054856333935,0.246589232539686,0.385322044436811,0.586168117353931,0.263205695315115,0.424686906334523,0.473844010910744,0.231946214877049,0.352895112893896,0.116673283835741,0.0467051184607335,0.0816892011482374,0.135701507843096,0.0929190551317389,0.114310281487417,-0.00346174130865522,-0.00506298771367353,-0.00426236451116437
"13",3,500,0.521819083058085,0.251359775932327,0.386589429495206,0.583582834331337,0.270106131281977,0.426844482806657,0.471877695322313,0.235046675307215,0.353462185314764,0.11286439475423,0.0470015839242336,0.0799329893392319,0.133243591367669,0.0922750832173858,0.112759337292528,-0.00379794934569698,-0.0049717944139953,-0.00438487187984614
"14",4,500,0.520356956395077,0.253547982766629,0.386952469580853,0.581375716050251,0.268930143826526,0.425152929938388,0.470930105358878,0.239830265171233,0.355380185265055,0.113010986366773,0.0455263692563477,0.0792686778115601,0.132016134301545,0.0905184208087532,0.111267277555149,-0.0033405586030076,-0.00480635003528399,-0.0040734543191458
"15",5,500,0.500887996227888,0.243876969701973,0.372382482964931,0.551944498729725,0.258226981631237,0.405085740180481,0.45847747090485,0.231037891176738,0.344757681040794,0.114237364466344,0.0479298930908673,0.0810836287786057,0.128928019149093,0.0949067321895655,0.111917375669329,-0.00143076928350057,-0.00512943981910926,-0.00328010455130491
"16",1,750,0.49798394875665,0.246785305040739,0.372384626898695,0.54871249465089,0.256269220191514,0.402490857421202,0.455841352754009,0.23797829363728,0.346909823195644,0.114860888568335,0.0475466596555296,0.0812037741119324,0.130841844789734,0.0951178452956144,0.112979845042674,-0.00184246146115679,-0.00510845239324609,-0.00347545692720144
"17",2,750,0.52051860062942,0.251868071513598,0.386193336071509,0.581906376701916,0.271327624466298,0.426617000584107,0.470846954836903,0.235012995171456,0.352929975004179,0.113988096250968,0.047821710495787,0.0809049033733773,0.133658865956023,0.0951245038557103,0.114391684905867,-0.00369925733457354,-0.00508501075463417,-0.00439213404460386
"18",3,750,0.519544135766758,0.252274549445755,0.385909342606257,0.58070391674304,0.270397534621188,0.425550725682114,0.470039535858849,0.236428300718049,0.353233918288449,0.114526655126155,0.0474407587560048,0.08098370694108,0.134202135230031,0.095289510282105,0.114745822756068,-0.00374182927208557,-0.00507476598639755,-0.00440829762924156
"19",4,750,0.519333053794806,0.252252987326518,0.385793020560662,0.580204492379548,0.265148926655196,0.422676709517372,0.470021344273055,0.240553295593209,0.355287319933132,0.112722905469675,0.0447926581611335,0.0787577818154044,0.132392016071057,0.0877612561585081,0.110076636114782,-0.00363554689359461,-0.0046813912919127,-0.00415846909275365
"20",5,750,0.519389184589367,0.252267965612306,0.385828575100837,0.580308610562451,0.270366952774077,0.425337781668264,0.470044974450392,0.236440118928019,0.353242546689206,0.111825911323694,0.0480378427607681,0.0799318770422312,0.132095500694241,0.0956008732620629,0.113848186978152,-0.00382181476771038,-0.00505293817185112,-0.00443737646978075
"21",1,1000,0.51851385864318,0.252845481597268,0.385679670120224,0.579711297264793,0.264748848452549,0.422230072858671,0.469003346050641,0.24196643433642,0.355484890193531,0.11248716065186,0.0452725760710189,0.0788798683614396,0.13196998343481,0.0879181679333875,0.109944075684099,-0.00363314215046668,-0.00472700384288949,-0.00418007299667808
"22",2,1000,0.501271236834981,0.246927001802119,0.37409911931855,0.552287591089034,0.254445071548978,0.403366331319006,0.458882932907682,0.239840453623057,0.34936169326537,0.114723620328989,0.0460965251714866,0.080410072750238,0.130088025635104,0.0908847663034492,0.110486395969277,-0.0017033208700729,-0.00491505865168062,-0.00330918976087676
"23",3,1000,0.518940355778114,0.246750749679232,0.382845552728673,0.589021029840669,0.258400801206984,0.423710915523827,0.463762695462837,0.236105869579193,0.349934282521015,0.117125688084319,0.0470591157313415,0.0820924019078302,0.12726355220933,0.0960723993341343,0.111667975771732,0.00249880406663155,-0.00518049116141987,-0.00134084354739416
"24",4,1000,0.518576464102134,0.25389899903204,0.386237731567087,0.57931289572593,0.272737842999662,0.426025369362796,0.469367000693949,0.237494520073005,0.353430760383477,0.113234988083242,0.046147386370981,0.0796911872271116,0.132690054233043,0.09170096438245,0.112195509307747,-0.00368770171360073,-0.00493027865633571,-0.00430899018496822
"25",5,1000,0.50144057506809,0.247115490615032,0.374278032841561,0.553430802139859,0.253714160767798,0.403572481453828,0.458379617316529,0.2408513598519,0.349615488584214,0.113950104142808,0.0461052554668434,0.0800276798048256,0.12941145501338,0.0906865109363254,0.110048982974853,-0.00187280258256881,-0.00497847074134801,-0.00342563666195841
"26",1,1250,0.507961089161751,0.24548171646804,0.376721402814895,0.560274678281408,0.253544281301551,0.406909479791479,0.464582413595665,0.237916118381805,0.351249265988735,0.114001276026029,0.0462839156538305,0.0801425958399296,0.129628202008973,0.092051175769194,0.110839688889084,-0.00201404116443607,-0.00502341262433833,-0.0035187268943872
"27",2,1250,0.519704360381595,0.256722227598624,0.38821329399011,0.580894829599493,0.268472430465962,0.424683630032728,0.470176745086698,0.245957435979344,0.358067090533021,0.112330522500591,0.0436953844903811,0.078012953495486,0.132447561008213,0.0837823634916754,0.108114962249944,-0.00384300335421751,-0.00468974354762931,-0.00426637345092341
"28",3,1250,0.508575531136856,0.23875204902682,0.373663790081838,0.560688561024448,0.252131711709187,0.406410136366818,0.465325950445025,0.226720843629224,0.346023397037125,0.113970552190131,0.0478118010347338,0.0808911766124323,0.129636579834478,0.0956111315562952,0.112623855695387,-0.00215150182659507,-0.00506497673014194,-0.00360823927836851
"29",4,1250,0.522085528317031,0.255560529734387,0.388823029025709,0.583712873281424,0.265977224001839,0.424845048641632,0.472228500899819,0.245929001219792,0.359078751059805,0.114333497104873,0.0457805568814299,0.0800570269931515,0.13405442986197,0.0912391512274357,0.112646790544703,-0.00380934289333237,-0.00502267399619849,-0.00441600844476543
"30",5,1250,0.503915602695702,0.245096912093579,0.374506257394641,0.555459315608446,0.258837590836135,0.40714845322229,0.461125567165108,0.23274156940586,0.346933568285484,0.114041812999031,0.0474508578600289,0.0807463354295297,0.12931637568052,0.0945843070559972,0.111950341368259,-0.00191204189955105,-0.00511389545005264,-0.00351296867480185
"31",1,1500,0.52066061393736,0.255606506799754,0.388133560368557,0.580529047770654,0.266645057072007,0.42358705242133,0.47198594482867,0.24544557111396,0.358715757971315,0.113838017475993,0.0436363302649869,0.0787371738704902,0.135078173510521,0.0853803470207375,0.110229260265629,-0.00426514441892645,-0.00474503264715829,-0.00450508853304237
"32",2,1500,0.498325639697181,0.24653770692104,0.372431673309111,0.549999933156063,0.254490866002163,0.402245399579113,0.455527354172019,0.239066576259879,0.347296965215949,0.114062134119957,0.0469888025925007,0.0805254683562288,0.129705698197795,0.0936406637695749,0.111673180983685,-0.0019930919266063,-0.00511564310922593,-0.00355436751791611
"33",3,1500,0.519053164409538,0.272523242732442,0.39578820357099,0.578903995043539,0.285512043502214,0.432208019272876,0.470418286387027,0.26066481695942,0.365541551673224,0.113311422029896,0.0410020648438692,0.0771567434368825,0.132430892884468,0.0742345548931851,0.103332723888827,-0.00340688526284904,-0.00381405830671832,-0.00361047178478368
"34",4,1500,0.498160405600222,0.245750109010497,0.37195525730536,0.550206822201866,0.257057893134951,0.403632357668409,0.455109638358484,0.235395248397806,0.345252443378145,0.111775117483561,0.0459425817055689,0.0788588495945647,0.128313419442138,0.0908936080700218,0.10960351375608,-0.00221953446650251,-0.00490279716704665,-0.00356116581677458
"35",5,1500,0.51067570416041,0.249334654712654,0.380005179436532,0.563589884783199,0.257223051605074,0.410406468194137,0.466844709417789,0.241915696661031,0.35438020303941,0.114055286068163,0.0442634200078963,0.0791593530380294,0.130057674174447,0.083226145653748,0.106641909914098,-0.0022915347584376,-0.00465406204569368,-0.00347279840206564
"36",1,1750,0.5003540559397,0.254646029554531,0.377500042747115,0.553137692680024,0.262662451155822,0.407900071917923,0.456766703179674,0.247104436406861,0.351935569793267,0.112855342753888,0.043942859439819,0.0783991010968536,0.129395915155391,0.0866512767522793,0.108023595953835,-0.00231712819281163,-0.00488555792180169,-0.00360134305730666
"37",2,1750,0.494482400721549,0.253053765908397,0.373768083314973,0.546015975085698,0.260531208441399,0.403273591763549,0.451837492708803,0.245993564734067,0.348915528721435,0.112807376110999,0.0427036314868006,0.0777555037988998,0.128040707218009,0.0821486237416021,0.105094665479805,-0.00182522633293281,-0.00466807737073095,-0.00324665185183188
"38",3,1750,0.507845769874275,0.25414051946614,0.380993144670208,0.575245471736125,0.262980939128898,0.419113205432511,0.454583635670899,0.245875132024258,0.350229383847578,0.0930356006648915,0.0402474623118961,0.0666415314883938,0.109472673573368,0.0823537067151269,0.0959131901442472,-0.00167218592582947,-0.00496680974982711,-0.00331949783782829
"39",4,1750,0.521270076064399,0.266600715253107,0.393935395658753,0.583555888638972,0.279706627446018,0.431631258042495,0.47099811283026,0.254668010564355,0.362833061697308,0.11235708827724,0.0421292095308416,0.077243148904041,0.134173502645021,0.0823300916905387,0.10825179716778,-0.00456373888018752,-0.00467618779072375,-0.00461996333545564
"40",5,1750,0.5000339933383,0.253581109476391,0.376807551407345,0.552114893654533,0.260291824073753,0.406203358864143,0.456931706262398,0.247207722685958,0.352069714474178,0.112940625567652,0.0440048399549851,0.0784727327613184,0.128618481520011,0.0851914804694023,0.106904980994707,-0.00219308205693584,-0.00481968857584613,-0.00350638531639098
"41",1,2000,0.486686585653768,0.2600872820646,0.373386933859184,0.539186878391454,0.269446426383574,0.404316652387514,0.443502975352454,0.251356486613711,0.347429730983082,0.109696953485379,0.0419466894130743,0.0758218214492268,0.125486152514638,0.0789793045142671,0.102232728514453,-0.00208180931726227,-0.00430421026668328,-0.00319300979197277
"42",2,2000,0.450866254205196,0.260385927187723,0.355626090696459,0.486063903126218,0.272921877100982,0.3794928901136,0.420421975198767,0.248951015854288,0.334686495526527,0.0900869995308185,0.0459209973202346,0.0680039984255266,0.11584534157597,0.0907679548521023,0.103306648214036,-0.000300329292987184,-0.00486627045272509,-0.00258329987285614
"43",3,2000,0.490867478380946,0.250684564119115,0.37077602125003,0.542706816128616,0.259932596466523,0.401319706297569,0.448068034073327,0.242071986876152,0.34507001047474,0.110966674018629,0.0405761584338752,0.0757714162262522,0.125144390182655,0.0729819315413261,0.0990631608619903,-0.00172169443249792,-0.0039435559212081,-0.00283262517685301
"44",4,2000,0.519462663619638,0.259668245384016,0.389565454501827,0.589938205937966,0.272361922422029,0.431150064179997,0.464028607273328,0.248105080688511,0.35606684398092,0.106669757402539,0.0476856307021888,0.0771776940523638,0.130243458451018,0.0939261770279545,0.112084817739486,-0.00539611403345256,-0.00503236387523423,-0.00521423895434339
"45",5,2000,0.494192540842607,0.256664866245424,0.375428703544015,0.545882853087855,0.264744161882651,0.405313507485253,0.45144469300177,0.249064085312079,0.350254389156924,0.112243176254364,0.0431424327580259,0.0776928045061949,0.127407723937883,0.0785790617271949,0.102993392832539,-0.00192388538369848,-0.00424952011477503,-0.00308670274923675
