"","Method","Parameter","Choice","Measure","Mean","S.d."
"1","iSSVD","0","Overall","CSR",0.2,0
"2","iSSVD","0","Overall","Rel",0,0
"3","iSSVD","0","Overall","Rec",0,0
"4","iSSVD","0","Overall","F_score",0,0
"5","iSSVD","0","Overall","BiS",0,0
"6","iSSVD","0.05","Overall","CSR",0.2,0
"7","iSSVD","0.05","Overall","Rel",0,0
"8","iSSVD","0.05","Overall","Rec",0,0
"9","iSSVD","0.05","Overall","F_score",0,0
"10","iSSVD","0.05","Overall","BiS",0,0
"11","iSSVD","0.1","Overall","CSR",0.2,0
"12","iSSVD","0.1","Overall","Rel",0,0
"13","iSSVD","0.1","Overall","Rec",0,0
"14","iSSVD","0.1","Overall","F_score",0,0
"15","iSSVD","0.1","Overall","BiS",0,0
"16","iSSVD","0.15","Overall","CSR",0.2,0
"17","iSSVD","0.15","Overall","Rel",0,0
"18","iSSVD","0.15","Overall","Rec",0,0
"19","iSSVD","0.15","Overall","F_score",0,0
"20","iSSVD","0.15","Overall","BiS",0,0
"21","iSSVD","0.2","Overall","CSR",0.2,0
"22","iSSVD","0.2","Overall","Rel",0,0
"23","iSSVD","0.2","Overall","Rec",0,0
"24","iSSVD","0.2","Overall","F_score",0,0
"25","iSSVD","0.2","Overall","BiS",0,0
"26","iSSVD","0.25","Overall","CSR",0.2,0
"27","iSSVD","0.25","Overall","Rel",0,0
"28","iSSVD","0.25","Overall","Rec",0,0
"29","iSSVD","0.25","Overall","F_score",0,0
"30","iSSVD","0.25","Overall","BiS",0,0
"31","iSSVD","0.3","Overall","CSR",0.2,0
"32","iSSVD","0.3","Overall","Rel",0,0
"33","iSSVD","0.3","Overall","Rec",0,0
"34","iSSVD","0.3","Overall","F_score",0,0
"35","iSSVD","0.3","Overall","BiS",0,0
"36","iSSVD","0.35","Overall","CSR",0.2,0
"37","iSSVD","0.35","Overall","Rel",0,0
"38","iSSVD","0.35","Overall","Rec",0,0
"39","iSSVD","0.35","Overall","F_score",0,0
"40","iSSVD","0.35","Overall","BiS",0,0
"41","iSSVD","0.4","Overall","CSR",0.2,0
"42","iSSVD","0.4","Overall","Rel",0,0
"43","iSSVD","0.4","Overall","Rec",0,0
"44","iSSVD","0.4","Overall","F_score",0,0
"45","iSSVD","0.4","Overall","BiS",0,0
"46","iSSVD","0.45","Overall","CSR",0.2,0
"47","iSSVD","0.45","Overall","Rel",0,0
"48","iSSVD","0.45","Overall","Rec",0,0
"49","iSSVD","0.45","Overall","F_score",0,0
"50","iSSVD","0.45","Overall","BiS",0,0
"51","iSSVD","0.5","Overall","CSR",0.2,0
"52","iSSVD","0.5","Overall","Rel",0,0
"53","iSSVD","0.5","Overall","Rec",0,0
"54","iSSVD","0.5","Overall","F_score",0,0
"55","iSSVD","0.5","Overall","BiS",0,0
"56","iSSVD","0.55","Overall","CSR",0.2,0
"57","iSSVD","0.55","Overall","Rel",0,0
"58","iSSVD","0.55","Overall","Rec",0,0
"59","iSSVD","0.55","Overall","F_score",0,0
"60","iSSVD","0.55","Overall","BiS",0,0
"61","iSSVD","0.6","Overall","CSR",0.875,0
"62","iSSVD","0.6","Overall","Rel",0.640731682332189,0.0241389005121341
"63","iSSVD","0.6","Overall","Rec",0.532056147896838,0.0189787123593908
"64","iSSVD","0.6","Overall","F_score",0.58135490012023,0.0212438513783602
"65","iSSVD","0.6","Overall","BiS",0.539874754495994,0.0607269172135157
"66","iSSVD","0.65","Overall","CSR",0.875,0
"67","iSSVD","0.65","Overall","Rel",0.612250217778248,0.0235009825048457
"68","iSSVD","0.65","Overall","Rec",0.50831037647826,0.0186993037800763
"69","iSSVD","0.65","Overall","F_score",0.555451793758166,0.020783013355123
"70","iSSVD","0.65","Overall","BiS",0.504769380985049,0.059382657657104
"71","iSSVD","0.7","Overall","CSR",0.875,0
"72","iSSVD","0.7","Overall","Rel",0.596474131345824,0.0239302721637237
"73","iSSVD","0.7","Overall","Rec",0.494744758971895,0.0201218343545875
"74","iSSVD","0.7","Overall","F_score",0.540854090569394,0.0217696951996359
"75","iSSVD","0.7","Overall","BiS",0.49487075273152,0.0610094674678571
"76","iSSVD","0.75","Overall","CSR",0.875,0
"77","iSSVD","0.75","Overall","Rel",0.58326138965797,0.0224220303005512
"78","iSSVD","0.75","Overall","Rec",0.483169399373356,0.0183365800833141
"79","iSSVD","0.75","Overall","F_score",0.52849457021686,0.0200251022091643
"80","iSSVD","0.75","Overall","BiS",0.487496860624334,0.0554009269588083
"81","iSSVD","0.8","Overall","CSR",0.875,0
"82","iSSVD","0.8","Overall","Rel",0.575744207805033,0.023294550914899
"83","iSSVD","0.8","Overall","Rec",0.47579918359676,0.0204773421455861
"84","iSSVD","0.8","Overall","F_score",0.520989256939093,0.0216254892448697
"85","iSSVD","0.8","Overall","BiS",0.481310556421771,0.0605146242488682
"86","iSSVD","0.85","Overall","CSR",0.875,0
"87","iSSVD","0.85","Overall","Rel",0.569194112168628,0.0219394580669465
"88","iSSVD","0.85","Overall","Rec",0.469693157470602,0.0187780230315816
"89","iSSVD","0.85","Overall","F_score",0.51463908275766,0.0200076182465936
"90","iSSVD","0.85","Overall","BiS",0.479949400483763,0.0595938310054224
"91","iSSVD","0.9","Overall","CSR",0.875,0
"92","iSSVD","0.9","Overall","Rel",0.547740720530028,0.0247178504899251
"93","iSSVD","0.9","Overall","Rec",0.453595342893679,0.0203150297392659
"94","iSSVD","0.9","Overall","F_score",0.496178968520762,0.0220003904351898
"95","iSSVD","0.9","Overall","BiS",0.452593335677842,0.0635076085175821
"96","iSSVD","0.95","Overall","CSR",0.875,0
"97","iSSVD","0.95","Overall","Rel",0.515167424131945,0.025327611274257
"98","iSSVD","0.95","Overall","Rec",0.429178665440815,0.0189590198778423
"99","iSSVD","0.95","Overall","F_score",0.468154908550965,0.0214487020187691
"100","iSSVD","0.95","Overall","BiS",0.405313537763921,0.0503988302746892
"101","iSSVD","1","Overall","CSR",0.875,0
"102","iSSVD","1","Overall","Rel",0.479795994513449,0.0190745570982301
"103","iSSVD","1","Overall","Rec",0.404116391296362,0.0147181722754792
"104","iSSVD","1","Overall","F_score",0.438621264008595,0.0166399413004619
"105","iSSVD","1","Overall","BiS",0.368428312068341,0.0389436120053119
